eta,budget,s,pair,estimator,epsilon,metric,point,ci_low,ci_high,bootstrap_samples,bootstrap_seed,bootstrap_stream
1e-10,80,4,left,mom_w2,0.3333333333333333,selected_mean_ratio,1.13252086078173,1.1325208607817296,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,mom_w2,0.3333333333333333,paid_oracle_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,mom_w2,0.3333333333333333,paid_baseline_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,mom_w2,0.3333333333333333,fraction_paths_harmed,1.0,1.0000000000000007,1.0000000000000007,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,mom_w2,0.3333333333333333,accept_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,mom_w2,0.3333333333333333,abstain_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,mom_w2,0.5,selected_mean_ratio,1.13252086078173,1.1325208607817296,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,mom_w2,0.5,paid_oracle_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,mom_w2,0.5,paid_baseline_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,mom_w2,0.5,fraction_paths_harmed,1.0,1.0000000000000007,1.0000000000000007,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,mom_w2,0.5,accept_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,mom_w2,0.5,abstain_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.0,selected_mean_ratio,1.13252086078173,1.1325208607817296,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.0,paid_oracle_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.0,paid_baseline_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.0,fraction_paths_harmed,1.0,1.0000000000000007,1.0000000000000007,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.0,accept_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.0,abstain_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.2,selected_mean_ratio,1.13252086078173,1.1325208607817296,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.2,paid_oracle_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.2,paid_baseline_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.2,fraction_paths_harmed,1.0,1.0000000000000007,1.0000000000000007,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.2,accept_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.2,abstain_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.3333333333333333,selected_mean_ratio,1.13252086078173,1.1325208607817296,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.3333333333333333,paid_oracle_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.3333333333333333,paid_baseline_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.3333333333333333,fraction_paths_harmed,1.0,1.0000000000000007,1.0000000000000007,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.3333333333333333,accept_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.3333333333333333,abstain_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.5,selected_mean_ratio,1.13252086078173,1.1325208607817296,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.5,paid_oracle_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.5,paid_baseline_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.5,fraction_paths_harmed,1.0,1.0000000000000007,1.0000000000000007,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.5,accept_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,paired_mean,0.5,abstain_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.0,selected_mean_ratio,1.13252086078173,1.1325208607817296,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.0,paid_oracle_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.0,paid_baseline_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.0,fraction_paths_harmed,1.0,1.0000000000000007,1.0000000000000007,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.0,accept_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.0,abstain_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.2,selected_mean_ratio,1.13252086078173,1.1325208607817296,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.2,paid_oracle_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.2,paid_baseline_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.2,fraction_paths_harmed,1.0,1.0000000000000007,1.0000000000000007,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.2,accept_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.2,abstain_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.3333333333333333,selected_mean_ratio,1.13252086078173,1.1325208607817296,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.3333333333333333,paid_oracle_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.3333333333333333,paid_baseline_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.3333333333333333,fraction_paths_harmed,1.0,1.0000000000000007,1.0000000000000007,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.3333333333333333,accept_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.3333333333333333,abstain_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.5,selected_mean_ratio,1.13252086078173,1.1325208607817296,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.5,paid_oracle_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.5,paid_baseline_mean_ratio,1.1325208607817305,1.1325208607817299,1.1325208607817308,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.5,fraction_paths_harmed,1.0,1.0000000000000007,1.0000000000000007,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.5,accept_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,left,sample_variance,0.5,abstain_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.0,selected_mean_ratio,1.2661535456981525,1.2657085483998132,1.2665813682341964,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.0,paid_oracle_mean_ratio,1.2194638371900386,1.219268475476025,1.2195616883116889,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.0,paid_baseline_mean_ratio,1.2195616883116882,1.219561688311688,1.219561688311689,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.0,fraction_paths_harmed,1.0,1.0000000000000007,1.0000000000000007,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.0,accept_probability,0.4373666666666667,0.4344666666666667,0.4402252083333333,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.0,abstain_probability,0.0,0.0,0.0,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.2,selected_mean_ratio,1.2351704249290478,1.234882646827092,1.2354548891282908,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.2,paid_oracle_mean_ratio,1.2194638371900386,1.219268475476025,1.2195616883116889,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.2,paid_baseline_mean_ratio,1.2195616883116882,1.219561688311688,1.219561688311689,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.2,fraction_paths_harmed,1.0,1.0000000000000007,1.0000000000000007,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.2,accept_probability,0.12223333333333332,0.12028312500000002,0.12417520833333338,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.2,abstain_probability,0.6773333333333333,0.6745666666666668,0.6801166666666667,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.3333333333333333,selected_mean_ratio,1.2285800934852478,1.2283523332484183,1.2288044421978106,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.3333333333333333,paid_oracle_mean_ratio,1.2194638371900386,1.219268475476025,1.2195616883116889,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.3333333333333333,paid_baseline_mean_ratio,1.2195616883116882,1.219561688311688,1.219561688311689,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.3333333333333333,fraction_paths_harmed,1.0,1.0000000000000007,1.0000000000000007,10000,93000,shared_rank_stratified_multinomial
1e-10,80,4,primary,mom_w1,0.3333333333333333,accept_probability,0.06686666666666667,0.06532500000000004,0.0683835416666667,10000,93000,shared_rank_stratified_multinomial
